hersteller,modell,typ,segment,land,montagearten,laenge_cm,breite_cm,eigengewicht_kg,traglast_dyn_kg,traglast_dyn_pro_traeger_kg,traglast_stat_kg,preis_eur,url,traglast_quelle,traglast_konfidenz,traglast_notiz,quelle
Thule,ProBar Evo,"Querträger Alu, Schwerlast, doppelte T-Nut (Gewerbe)",Van/Nutzfahrzeug,SE,"Klemm, Reling, Fixpunkt, Regenrinne (Fußsatz 951/953)",175.0,,6.8,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, rameder.de"
Thule,ProBar Evo,"Querträger Alu, Schwerlast, doppelte T-Nut (Gewerbe)",Van/Nutzfahrzeug,SE,"Klemm, Reling, Fixpunkt, Regenrinne (Fußsatz 951/953)",190.0,,7.4,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, rameder.de"
Thule,ProBar Evo,"Querträger Alu, Schwerlast, doppelte T-Nut (Gewerbe)",Van/Nutzfahrzeug,SE,"Klemm, Reling, Fixpunkt, Regenrinne (Fußsatz 951/953)",220.0,,8.4,100.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, rameder.de"
Thule,WingBar Edge,"Querträger Alu, flaches Aero-Profil, dachbündig, fahrzeugspezifische Länge",PKW-Querträger,SE,"Klemm (Edge Clamp), offene/bündige Reling, Fixpunkt",77.0,,,75.0,,,330.0,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, autodoc.de"
Thule,WingBar Edge,"Querträger Alu, flaches Aero-Profil, dachbündig, fahrzeugspezifische Länge",PKW-Querträger,SE,"Klemm (Edge Clamp), offene/bündige Reling, Fixpunkt",86.0,,,75.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, autodoc.de"
Thule,WingBar Edge,"Querträger Alu, flaches Aero-Profil, dachbündig, fahrzeugspezifische Länge",PKW-Querträger,SE,"Klemm (Edge Clamp), offene/bündige Reling, Fixpunkt",95.0,,,75.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, autodoc.de"
Thule,WingBar Edge,"Querträger Alu, flaches Aero-Profil, dachbündig, fahrzeugspezifische Länge",PKW-Querträger,SE,"Klemm (Edge Clamp), offene/bündige Reling, Fixpunkt",104.0,,,75.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, autodoc.de"
Thule,WingBar Edge,"Querträger Alu, flaches Aero-Profil, dachbündig, fahrzeugspezifische Länge",PKW-Querträger,SE,"Klemm (Edge Clamp), offene/bündige Reling, Fixpunkt",113.0,,,75.0,,,,https://www.thule.com/de-de/roof-rack/car-roof-racks,,,,"thule.com, autodoc.de"
Thule,Caprock Dachplattform,"Plattform mit umlaufender T-Nut, dachzelttauglich",Offroad-Plattform,SE,Auf Thule-Evo-Fußsystemen oder Caprock Crossbar-Kit,150.0,133.0,22.0,150.0,,,830.0,https://www.thule.com/de-de/roof-rack/roof-platforms,,,,thule.com
Thule,Caprock Dachplattform,"Plattform mit umlaufender T-Nut, dachzelttauglich",Offroad-Plattform,SE,Auf Thule-Evo-Fußsystemen oder Caprock Crossbar-Kit,150.0,150.0,24.0,150.0,,,830.0,https://www.thule.com/de-de/roof-rack/roof-platforms,,,,thule.com
Thule,Caprock Dachplattform,"Plattform mit umlaufender T-Nut, dachzelttauglich",Offroad-Plattform,SE,Auf Thule-Evo-Fußsystemen oder Caprock Crossbar-Kit,190.0,150.0,28.0,150.0,,,830.0,https://www.thule.com/de-de/roof-rack/roof-platforms,,,,thule.com
Thule,Caprock Dachplattform,"Plattform mit umlaufender T-Nut, dachzelttauglich",Offroad-Plattform,SE,Auf Thule-Evo-Fußsystemen oder Caprock Crossbar-Kit,150.0,165.0,26.0,150.0,,,1030.0,https://www.thule.com/de-de/roof-rack/roof-platforms,,,,thule.com
Thule,Caprock Dachplattform,"Plattform mit umlaufender T-Nut, dachzelttauglich",Offroad-Plattform,SE,Auf Thule-Evo-Fußsystemen oder Caprock Crossbar-Kit,210.0,165.0,31.0,150.0,,,1030.0,https://www.thule.com/de-de/roof-rack/roof-platforms,,,,thule.com
Thule,953 Regenrinnen-Fußsatz / Dachbügel Defender,Regenrinnenträger (Superhochfuß + Traversen),Offroad-Plattform,SE,"Klemmung in Regenrinne (Defender, Land Cruiser, G-Klasse)",150.0,,12.0,100.0,,,195.0,https://www.thule.com/de-de/roof-rack/roof-racks-and-accessories/thule-953-_-953000,,,,"thule.com, nakatanenga.de"
Atera,SIGNO ASR (Alu),"Querträger Alu, Aero-Profil, T-Nut 22 mm, abschließbar",PKW-Querträger,DE,Offene Reling,110.0,,3.5,100.0,,,180.0,https://www.atera.de/,,,,"atera.de, kfzparts24.de"
Atera,SIGNO ASR (Alu),"Querträger Alu, Aero-Profil, T-Nut 22 mm, abschließbar",PKW-Querträger,DE,Offene Reling,122.0,,3.7,100.0,,,,https://www.atera.de/,,,,"atera.de, kfzparts24.de"
Atera,SIGNO ASR (Alu),"Querträger Alu, Aero-Profil, T-Nut 22 mm, abschließbar",PKW-Querträger,DE,Offene Reling,137.0,,3.9,100.0,,,,https://www.atera.de/,,,,"atera.de, kfzparts24.de"
Atera,SIGNO ASF,"Querträger Alu, Aero-Profil, T-Nut, fahrzeugspezifische Fußkits",PKW-Querträger,DE,"Bündige Reling, Fixpunkt",110.0,,,100.0,,,250.0,https://www.atera.de/,,,,"atera.de, rameder.de"
Atera,SIGNO ASF,"Querträger Alu, Aero-Profil, T-Nut, fahrzeugspezifische Fußkits",PKW-Querträger,DE,"Bündige Reling, Fixpunkt",122.0,,,100.0,,,,https://www.atera.de/,,,,"atera.de, rameder.de"
Atera,SIGNO ASF,"Querträger Alu, Aero-Profil, T-Nut, fahrzeugspezifische Fußkits",PKW-Querträger,DE,"Bündige Reling, Fixpunkt",137.0,,,100.0,,,,https://www.atera.de/,,,,"atera.de, rameder.de"
Atera,SIGNO RTD,"Querträger Alu, Aero-Profil schwarz, fahrzeugspezifisch abgelängt, abschließbar",PKW-Querträger,DE,Offene Reling (Drehmoment-Montage),122.0,,,100.0,,,263.0,https://www.atera.de/en/products/rtd-carrier-aeroprofile-black,,,,"atera.de (UVP 428), pkwteile.de (ab 263)"
Atera,SIGNO RT Stahl,"Querträger Stahl, Vierkant, kunststoffbeschichtet",PKW-Querträger,DE,Offene Reling,122.0,,,100.0,,,120.0,https://www.atera.de/,,,,"atera.de, campingbergler.at"
Atera,SIGNO RT Stahl,"Querträger Stahl, Vierkant, kunststoffbeschichtet",PKW-Querträger,DE,Offene Reling,137.0,,,100.0,,,,https://www.atera.de/,,,,"atera.de, campingbergler.at"
Cruz,Airo T / Airo Dark T,"Querträger Alu, Aero-Profil, T-Nut (silber/schwarz)",PKW-Querträger,ES,"Klemm (Kit A), offene Reling (Kit B)",108.0,,3.6,75.0,,,110.0,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Airo T / Airo Dark T,"Querträger Alu, Aero-Profil, T-Nut (silber/schwarz)",PKW-Querträger,ES,"Klemm (Kit A), offene Reling (Kit B)",118.0,,4.0,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Airo T / Airo Dark T,"Querträger Alu, Aero-Profil, T-Nut (silber/schwarz)",PKW-Querträger,ES,"Klemm (Kit A), offene Reling (Kit B)",128.0,,4.3,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Airo T / Airo Dark T,"Querträger Alu, Aero-Profil, T-Nut (silber/schwarz)",PKW-Querträger,ES,"Klemm (Kit A), offene Reling (Kit B)",133.0,,4.5,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Airo FIX,"Querträger Alu, Aero-Profil, T-Nut, für Werksbefestigungspunkte",PKW-Querträger,ES,"Bündige Reling (Kit C/D), Fixpunkt (Kit E)",108.0,,,75.0,,,150.0,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Airo FIX,"Querträger Alu, Aero-Profil, T-Nut, für Werksbefestigungspunkte",PKW-Querträger,ES,"Bündige Reling (Kit C/D), Fixpunkt (Kit E)",118.0,,,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Airo FIX,"Querträger Alu, Aero-Profil, T-Nut, für Werksbefestigungspunkte",PKW-Querträger,ES,"Bündige Reling (Kit C/D), Fixpunkt (Kit E)",128.0,,,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Airo FIX,"Querträger Alu, Aero-Profil, T-Nut, für Werksbefestigungspunkte",PKW-Querträger,ES,"Bündige Reling (Kit C/D), Fixpunkt (Kit E)",133.0,,,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Oplus ST / SX / S-FIX,"Querträger Stahl, Vierkant mit ABS-Ummantelung",PKW-Querträger,ES,"Klemm (Kit A: 60 kg / Kit B: 75 kg), offene Reling (SX), bündig/Fixpunkt (S-FIX)",110.0,,4.6,75.0,,,60.0,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Oplus ST / SX / S-FIX,"Querträger Stahl, Vierkant mit ABS-Ummantelung",PKW-Querträger,ES,"Klemm (Kit A: 60 kg / Kit B: 75 kg), offene Reling (SX), bündig/Fixpunkt (S-FIX)",120.0,,5.0,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Oplus ST / SX / S-FIX,"Querträger Stahl, Vierkant mit ABS-Ummantelung",PKW-Querträger,ES,"Klemm (Kit A: 60 kg / Kit B: 75 kg), offene Reling (SX), bündig/Fixpunkt (S-FIX)",125.0,,5.2,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Oplus ST / SX / S-FIX,"Querträger Stahl, Vierkant mit ABS-Ummantelung",PKW-Querträger,ES,"Klemm (Kit A: 60 kg / Kit B: 75 kg), offene Reling (SX), bündig/Fixpunkt (S-FIX)",130.0,,5.4,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Cruz,Oplus ST / SX / S-FIX,"Querträger Stahl, Vierkant mit ABS-Ummantelung",PKW-Querträger,ES,"Klemm (Kit A: 60 kg / Kit B: 75 kg), offene Reling (SX), bündig/Fixpunkt (S-FIX)",135.0,,5.6,75.0,,,,https://cruz-products.com,,,,"cruz-products.com, autodoc.de"
Nordrive,Silenzio (Rail-Top / In-Rail / CX),"Querträger Alu, Aero-Wing-Profil, T-Nut, GS-TÜV",PKW-Querträger,IT,"Offene Reling, bündige Reling (In-Rail), Klemm (Kit)",108.0,,4.0,100.0,,,90.0,https://www.nordrive.it/,,,,"nordrive.it, amazon.de, lastentraeger.de"
Nordrive,Silenzio (Rail-Top / In-Rail / CX),"Querträger Alu, Aero-Wing-Profil, T-Nut, GS-TÜV",PKW-Querträger,IT,"Offene Reling, bündige Reling (In-Rail), Klemm (Kit)",120.0,,4.3,100.0,,,,https://www.nordrive.it/,,,,"nordrive.it, amazon.de, lastentraeger.de"
Nordrive,Silenzio (Rail-Top / In-Rail / CX),"Querträger Alu, Aero-Wing-Profil, T-Nut, GS-TÜV",PKW-Querträger,IT,"Offene Reling, bündige Reling (In-Rail), Klemm (Kit)",128.0,,4.5,100.0,,,,https://www.nordrive.it/,,,,"nordrive.it, amazon.de, lastentraeger.de"
Nordrive,Silenzio (Rail-Top / In-Rail / CX),"Querträger Alu, Aero-Wing-Profil, T-Nut, GS-TÜV",PKW-Querträger,IT,"Offene Reling, bündige Reling (In-Rail), Klemm (Kit)",135.0,,4.8,100.0,,,,https://www.nordrive.it/,,,,"nordrive.it, amazon.de, lastentraeger.de"
Nordrive,Helio / Helio Rail,"Querträger Alu, Aero-Profil",PKW-Querträger,IT,"Bündige Reling, Klemm (fahrzeugspezifisch)",110.0,,,100.0,,,130.0,https://www.nordrive.it/,,,,"nordrive.it, lastentraeger.de"
Nordrive,Helio / Helio Rail,"Querträger Alu, Aero-Profil",PKW-Querträger,IT,"Bündige Reling, Klemm (fahrzeugspezifisch)",120.0,,,100.0,,,,https://www.nordrive.it/,,,,"nordrive.it, lastentraeger.de"
Nordrive,Helio / Helio Rail,"Querträger Alu, Aero-Profil",PKW-Querträger,IT,"Bündige Reling, Klemm (fahrzeugspezifisch)",130.0,,,100.0,,,,https://www.nordrive.it/,,,,"nordrive.it, lastentraeger.de"
Nordrive,Kargo / Kargo Plus,"Schwerlast-Querträger Stahl (Kargo) / Alu (Plus), 2-4 Träger",Van/Nutzfahrzeug,IT,Fixpunkt (Transporter-Dach),126.0,,,150.0,,,150.0,https://www.nordrive.it/,,,,"nordrive.it, ebay.de"
Nordrive,Kargo / Kargo Plus,"Schwerlast-Querträger Stahl (Kargo) / Alu (Plus), 2-4 Träger",Van/Nutzfahrzeug,IT,Fixpunkt (Transporter-Dach),135.0,,,150.0,,,,https://www.nordrive.it/,,,,"nordrive.it, ebay.de"
Nordrive,Kargo / Kargo Plus,"Schwerlast-Querträger Stahl (Kargo) / Alu (Plus), 2-4 Träger",Van/Nutzfahrzeug,IT,Fixpunkt (Transporter-Dach),150.0,,,150.0,,,,https://www.nordrive.it/,,,,"nordrive.it, ebay.de"
Nordrive,Kargo / Kargo Plus,"Schwerlast-Querträger Stahl (Kargo) / Alu (Plus), 2-4 Träger",Van/Nutzfahrzeug,IT,Fixpunkt (Transporter-Dach),160.0,,,150.0,,,,https://www.nordrive.it/,,,,"nordrive.it, ebay.de"
Menabo,Tema,"Querträger Stahl (auch Alu-Variante), Vierkant mit Kunststoffummantelung",PKW-Querträger,IT,"Klemm, Fixpunkt (FIX-Kit), bündige Reling",120.0,,4.6,75.0,,,60.0,https://eu.menabocaraccessories.com/,,,,"menabo.com, kupplung.de"
Menabo,Tema,"Querträger Stahl (auch Alu-Variante), Vierkant mit Kunststoffummantelung",PKW-Querträger,IT,"Klemm, Fixpunkt (FIX-Kit), bündige Reling",130.0,,4.8,75.0,,,,https://eu.menabocaraccessories.com/,,,,"menabo.com, kupplung.de"
Menabo,Brio / Brio XL,"Querträger Alu, Aero-Profil, abschließbar",PKW-Querträger,IT,Offene Reling,120.0,,3.5,90.0,,,50.0,https://eu.menabocaraccessories.com/,,,,"amazon.de, testberichte.de"
Menabo,Brio / Brio XL,"Querträger Alu, Aero-Profil, abschließbar",PKW-Querträger,IT,Offene Reling,135.0,,3.8,90.0,,,,https://eu.menabocaraccessories.com/,,,,"amazon.de, testberichte.de"
Menabo,Delta,"Querträger Alu, Aero-Profil, T-Nut",PKW-Querträger,IT,Bündige/geschlossene Reling,120.0,,,75.0,,,90.0,https://eu.menabocaraccessories.com/,,,,"menabo.com, idealo.at"
Menabo,Delta,"Querträger Alu, Aero-Profil, T-Nut",PKW-Querträger,IT,Bündige/geschlossene Reling,135.0,,,75.0,,,,https://eu.menabocaraccessories.com/,,,,"menabo.com, idealo.at"
Green Valley,Trax / Trek,"Querträger Alu, Aero-Profil, abschließbar",PKW-Querträger,IT,"Offene Reling, bündige Reling (Kit)",110.0,,,90.0,,,90.0,https://www.greenvalley-passioncarrier.com/,,,,"auto-doc.at, amazon.de"
Green Valley,Trax / Trek,"Querträger Alu, Aero-Profil, abschließbar",PKW-Querträger,IT,"Offene Reling, bündige Reling (Kit)",120.0,,,90.0,,,,https://www.greenvalley-passioncarrier.com/,,,,"auto-doc.at, amazon.de"
Green Valley,Trax / Trek,"Querträger Alu, Aero-Profil, abschließbar",PKW-Querträger,IT,"Offene Reling, bündige Reling (Kit)",135.0,,,90.0,,,,https://www.greenvalley-passioncarrier.com/,,,,"auto-doc.at, amazon.de"
VDP,Rio 120 / L120 / Tiger,"Querträger Alu (Rio, L120) / Stahl (Tiger), abschließbar",Budget/Universal,DE,Offene Reling,120.0,,3.2,90.0,,,35.0,https://www.vdp-shop.de/,,,,"amazon.de, kaufland.de"
VDP,Rio 120 / L120 / Tiger,"Querträger Alu (Rio, L120) / Stahl (Tiger), abschließbar",Budget/Universal,DE,Offene Reling,135.0,,,90.0,,,,https://www.vdp-shop.de/,,,,"amazon.de, kaufland.de"
Mont Blanc,Xplore (Silver / Black Edition),"Querträger Alu, flaches Aero-Profil, integrierte Füße, werkzeuglos (Easy-Go)",PKW-Querträger,SE,"Klemm, offene/bündige Reling, Fixpunkt",,,,100,,,250.0,https://www.montblancgroup.com/de/series/mb-xplore,https://www.montblancgroup.com/de/produkte/xplore-ready-fit-201-dachtrager-rfx201-748201,hoch,"Herstellerseite, Spezifikationstabelle Xplore Ready Fit 201 (Art. 748201). Statische Traglast und Eigengewicht veroeffentlicht Mont Blanc nicht.","montblancgroup.com, ahk-onlineshop.eu"
Mont Blanc,AMC Traverse (Stahl/Alu),"Querträger Stahl (Vierkant) / Alu (Aero), Baukasten mit Fußkits",PKW-Querträger,SE,"Klemm, offene Reling, Fixpunkt",112.0,,,75.0,,,70.0,https://www.montblancgroup.com/de/series/amc,,,,"montblancgroup.com, shop.bbep.de"
Mont Blanc,AMC Traverse (Stahl/Alu),"Querträger Stahl (Vierkant) / Alu (Aero), Baukasten mit Fußkits",PKW-Querträger,SE,"Klemm, offene Reling, Fixpunkt",117.0,,,75.0,,,,https://www.montblancgroup.com/de/series/amc,,,,"montblancgroup.com, shop.bbep.de"
Mont Blanc,AMC Traverse (Stahl/Alu),"Querträger Stahl (Vierkant) / Alu (Aero), Baukasten mit Fußkits",PKW-Querträger,SE,"Klemm, offene Reling, Fixpunkt",124.0,,,75.0,,,,https://www.montblancgroup.com/de/series/amc,,,,"montblancgroup.com, shop.bbep.de"
Mont Blanc,AMC Traverse (Stahl/Alu),"Querträger Stahl (Vierkant) / Alu (Aero), Baukasten mit Fußkits",PKW-Querträger,SE,"Klemm, offene Reling, Fixpunkt",132.0,,,75.0,,,,https://www.montblancgroup.com/de/series/amc,,,,"montblancgroup.com, shop.bbep.de"
Yakima,ThruBar,"Querträger Alu, Aero-Profil, integrierte Füße, SmartFill-T-Nut (ex Whispbar)",PKW-Querträger,US,"Klemm (Kit), bündige Reling, Fixpunkt",110.0,,7.4,75.0,,,300.0,https://de.yakima.com/products/thrubar-pair,,,,"de.yakima.com, carparts-expert.com"
Yakima,ThruBar,"Querträger Alu, Aero-Profil, integrierte Füße, SmartFill-T-Nut (ex Whispbar)",PKW-Querträger,US,"Klemm (Kit), bündige Reling, Fixpunkt",120.0,,,75.0,,,,https://de.yakima.com/products/thrubar-pair,,,,"de.yakima.com, carparts-expert.com"
Yakima,ThruBar,"Querträger Alu, Aero-Profil, integrierte Füße, SmartFill-T-Nut (ex Whispbar)",PKW-Querträger,US,"Klemm (Kit), bündige Reling, Fixpunkt",135.0,,,75.0,,,,https://de.yakima.com/products/thrubar-pair,,,,"de.yakima.com, carparts-expert.com"
Yakima,ThruBar,"Querträger Alu, Aero-Profil, integrierte Füße, SmartFill-T-Nut (ex Whispbar)",PKW-Querträger,US,"Klemm (Kit), bündige Reling, Fixpunkt",150.0,,,75.0,,,,https://de.yakima.com/products/thrubar-pair,,,,"de.yakima.com, carparts-expert.com"
Yakima,FlushBar / RailBar,"Querträger Alu, Aero-Profil (FlushBar dachbündig, RailBar für Reling)",PKW-Querträger,US,"Bündige Reling (FlushBar), offene Reling (RailBar), Klemm (Kit)",110.0,,,75.0,,,280.0,https://eu.yakima.com/collections/roof-racks-crossbars,,,,"eu.yakima.com, campanions.de"
Yakima,FlushBar / RailBar,"Querträger Alu, Aero-Profil (FlushBar dachbündig, RailBar für Reling)",PKW-Querträger,US,"Bündige Reling (FlushBar), offene Reling (RailBar), Klemm (Kit)",120.0,,,75.0,,,,https://eu.yakima.com/collections/roof-racks-crossbars,,,,"eu.yakima.com, campanions.de"
Yakima,FlushBar / RailBar,"Querträger Alu, Aero-Profil (FlushBar dachbündig, RailBar für Reling)",PKW-Querträger,US,"Bündige Reling (FlushBar), offene Reling (RailBar), Klemm (Kit)",135.0,,,75.0,,,,https://eu.yakima.com/collections/roof-racks-crossbars,,,,"eu.yakima.com, campanions.de"
Yakima,FlushBar / RailBar,"Querträger Alu, Aero-Profil (FlushBar dachbündig, RailBar für Reling)",PKW-Querträger,US,"Bündige Reling (FlushBar), offene Reling (RailBar), Klemm (Kit)",150.0,,,75.0,,,,https://eu.yakima.com/collections/roof-racks-crossbars,,,,"eu.yakima.com, campanions.de"
Yakima,LockNLoad Platform,"Schwerlast-Plattform Alu, dachzelttauglich",Offroad-Plattform,US,"LockNLoad-Beine, Fixpunkt- oder Schienenmontage (fahrzeugspezifisch)",124.0,153.0,24.3,100,,,,https://de.yakima.com/products/locknload-platform,https://assets.yakima.com/product/instructions/9820378/1,hoch,"Groesse A = 1240x1530 mm laut Variantenliste auf de.yakima.com. Yakima: LOAD = Plattform + Montagesystem + Zubehoer + Ladung. Keine produktspezifische statische Angabe; Yakima nennt im Load-Rating-Dokument (REV E) nur die Faustregel Statik = 2,7 x dynamisch. Offroad-Abzug je nach Fussart 0-33 %. Eigengewicht 24,3 kg laut variantenspezifischer Produktangabe yakima.com.au (A - 1240x1530mm).","de.yakima.com, escape4x4.de"
Yakima,LockNLoad Platform,"Schwerlast-Plattform Alu, dachzelttauglich",Offroad-Plattform,US,"LockNLoad-Beine, Fixpunkt- oder Schienenmontage (fahrzeugspezifisch)",138.0,153.0,27.0,100,,,,https://de.yakima.com/products/locknload-platform,https://assets.yakima.com/product/instructions/9820378/1,hoch,"Groesse B = 1380x1540 mm laut Variantenliste auf de.yakima.com. Statik nicht produktspezifisch veroeffentlicht (nur Faustregel 2,7 x dynamisch im Yakima Load-Rating-Dokument REV E). Eigengewicht war bereits gefuellt.","de.yakima.com, escape4x4.de"
Yakima,LockNLoad Platform,"Schwerlast-Plattform Alu, dachzelttauglich",Offroad-Plattform,US,"LockNLoad-Beine, Fixpunkt- oder Schienenmontage (fahrzeugspezifisch)",138.0,193.0,,150,,,,https://de.yakima.com/products/locknload-platform,https://assets.yakima.com/product/instructions/9820378/1,hoch,"Groesse C = 1380x1930 mm laut Variantenliste auf de.yakima.com. Statik nicht produktspezifisch veroeffentlicht. Eigengewicht: de.yakima.com nennt nur einen pauschalen Wert (27 kg) fuer alle Groessen, keine groessenspezifische Angabe fuer C -> leer gelassen.","de.yakima.com, escape4x4.de"
Yakima,LockNLoad Platform,"Schwerlast-Plattform Alu, dachzelttauglich",Offroad-Plattform,US,"LockNLoad-Beine, Fixpunkt- oder Schienenmontage (fahrzeugspezifisch)",142.5,213.0,,150,,,,https://de.yakima.com/products/locknload-platform,https://assets.yakima.com/product/instructions/9820378/1,hoch,Groesse D = 1425x2130 mm laut Variantenliste auf de.yakima.com. Statik nicht produktspezifisch veroeffentlicht. Kein groessenspezifisches Eigengewicht fuer D veroeffentlicht.,"de.yakima.com, escape4x4.de"
Yakima,LockNLoad Platform,"Schwerlast-Plattform Alu, dachzelttauglich",Offroad-Plattform,US,"LockNLoad-Beine, Fixpunkt- oder Schienenmontage (fahrzeugspezifisch)",157.0,140.0,,100,,,,https://de.yakima.com/products/locknload-platform,https://assets.yakima.com/product/instructions/9820378/1,hoch,Groesse G = 1570x1400 mm laut Variantenliste auf de.yakima.com. Statik nicht produktspezifisch veroeffentlicht. Kein groessenspezifisches Eigengewicht fuer G veroeffentlicht.,"de.yakima.com, escape4x4.de"
